,voter,ens_nondatabase_name,sybil_name,ens_database_name
247,0xc1Fc5D1a80BB4E8ea0195fF87cc514bbd6bea8e7,,,[]
248,0x419679443550038fc0F4C427d5671f43cfF4bc60,,,[]
249,0x2594672DE91dc6cb07A21EfE7FCA25D5F1be73b0,,,[]
250,0xDB21339b91a92839D619991235eb95aa97Ee342b,,,[]
251,0x212cA19c099C7169DB7212FEC999641aA0cC01ed,,,[]
252,0x2ac73bFAA9Bd3A0f64370A9801B0bDA5972Ff542,,,[]
253,0xAB0AeD73CDf40aF99fD578F8Fd72c295B45a9cB1,,,[]
254,0x17ea92D6FfbAA1c7F6B117c1E9D0c88ABdc8b84C,kevinpark.eth,,"['wario.eth', 'kimmie.eth', 'learnandearn.eth', 'kevinpark.eth', 'meequal.eth', 'kisso.eth']"
255,0xa0E4EccF02F9b83EE1F270c735751D602E88eA1E,,,[]
256,0x27be0Ac938729c5De96DE4eeA0714f77A894Edb2,,,[]
257,0xa79e650CC46EC6535bf2E11136a01DB0f325dFDb,,,[]
258,0x70e7AAF8E7D45B237Dc467d2400dd1e7B3938189,,,[]
259,0x94aBa23b9Bbfe7bb62A9eB8b1215D72b5f6F33a1,,,[]
260,0x23195bAE958ee25afE8Ac20b4a1c08Ee737235A6,,,[]
261,0xA5836A1f1B6dbD88248F960cD83dcb2BDE1C92ae,aummum.eth,,['aummum.eth']
262,0xfC281B4876E0aa05eaCA6d7c4F591B32EF38dD79,,,[]
263,0x33e34f3D8db53fD87BD587045c86728C8E5E55E0,,,[]
264,0x4a6d8bE25862ad4de79ceC0bc98bc60Aaa356C60,,,[]
265,0x5DD596C901987A2b28C38A9C1DfBf86fFFc15d77,sifu.eth,,"['wen🌕.eth', 'sifu.eth']"
266,0xa1CdADEED81E6c6196A98D961169978d16cEF476,,,[]
267,0x2B384212EDc04Ae8bB41738D05BA20E33277bf33,arr00.eth,Arr00c,"['arr00.eth', 'comp-vote.eth']"
268,0xbE857415330B15070337073692358f72FaFD087b,greencandlefund.eth,,['greencandlefund.eth']
269,0x780921EFFA44A28cd417A2f430C58362d4ca744c,,,[]
270,0x241F38837B5306dd89Ca594f76E911B5083143df,,,[]
271,0x24f3781bDa2553FAC8254aaAc8A2856303f94bC0,,,[]
272,0x019342681e79002B7556848dfa88425e87E3B6B1,,,[]
273,0xFA12869ef1554A9211d0ddb3C9C13B81ee2a3b5d,,,[]
274,0x52185a2bbcFd67C1D07963E3575175ee9F95a551,,,[]
275,0x5dac623edC9c8c1A769BE13be4496CfDD63189E7,,,[]
276,0x3ECb7854C06a299eC06277486Bd24847e708A1e9,enjoybali.eth,,[]
277,0x978222550619E2b5ef81F740E47b9b0155b331f9,,,[]
278,0x7Ea0aACabA3d6e5Ec781585687CcDb7D1c25f5BE,,,[]
279,0x937534aeb1525d71D35e9903c0F847C4bD2495c7,,,[]
280,0x65189AD5a517848ed3309C7c2185c30f509f14C1,,,"['e݀t݀h.eth', 'e܂t܂h܂e܂r.eth', 'satoshi݀.eth']"
281,0xF0F1BbeBE3EC7F08f0113caf327558F06a20341c,,,[]
282,0x7e11A3883E901bdc0EEf2b4e135f11E1fe57C1De,,,[]
283,0x564c74BE2E2A0df287bFfAf28624525459e4a2AB,,,[]
284,0xBca2E7679f1b99740f884e2CC712b8739081DB5E,jalsio.eth,,['jalsio.eth']
285,0x90F05D55e179dd13833538B66c14c111cd96f513,,,[]
286,0x9b588802951e250a4611e2e324f11f1a0CBF7892,,,[]
287,0x40F5bb61333FdcecE77D12adCf6C9c309EC3d387,,,[]
288,0x894A5a35f962b815ED890C4347D7a1244c4fF03F,,,[]
289,0xa6308EaB4fC51B4D1c1213ef0628ADa3c04fF47f,,,[]
290,0xdf5E61e7b0ed5E489263A182CE12C1Aaf54cC89A,,,[]
291,0x5B913FDff95e00Da50a65740576a3C189812A16F,,,['datenwelt.eth']
