proposalId,voter,nondatabase_ens_name,sybil_name,compound_api_name,database_ens_name,category
27.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
28.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
28.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
28.0,0x7f4C5938AF9731e9feadc09C3FA782508198532E,,,,[],DeFi-app/company
29.0,0x10F87409E405c5e44e581A4C3F2eECF36AAf1f92,,,,[],DeFi-app/company
29.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
30.0,0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,blockchainatucla.eth,blockchainucla,Blockchain at UCLA,['blockchainatucla.eth'],university
30.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
31.0,0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,blockchainatucla.eth,blockchainucla,Blockchain at UCLA,['blockchainatucla.eth'],university
31.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
32.0,0x32a9d6A550C3D89284D5700F7d7758dBc6f0fB2C,,,,[],DeFi-app/company
33.0,0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,blockchainatucla.eth,blockchainucla,Blockchain at UCLA,['blockchainatucla.eth'],university
33.0,0x10F87409E405c5e44e581A4C3F2eECF36AAf1f92,,,,[],DeFi-app/company
34.0,0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,blockchainatucla.eth,blockchainucla,Blockchain at UCLA,['blockchainatucla.eth'],university
34.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
35.0,0x77EE2B5B256F6A7A168F1c0730042C54c55EDF38,,,,[],DeFi leader/builder
35.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
36.0,0x10F87409E405c5e44e581A4C3F2eECF36AAf1f92,,,,[],DeFi-app/company
36.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
36.0,0x5BC928BF0DAb1e4A2ddd9e347b0F22e88026D76c,,FranklinBi,Pantera Capital,[],investment
37.0,0x77EE2B5B256F6A7A168F1c0730042C54c55EDF38,,,,[],DeFi leader/builder
37.0,0x10F87409E405c5e44e581A4C3F2eECF36AAf1f92,,,,[],DeFi-app/company
38.0,0x32B61Bb22Cbe4834bc3e73DcE85280037D944a4D,,,,[],DeFi-app/company
38.0,0x10F87409E405c5e44e581A4C3F2eECF36AAf1f92,,,,[],DeFi-app/company
39.0,0x10F87409E405c5e44e581A4C3F2eECF36AAf1f92,,,,[],DeFi-app/company
